#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = 水
hexafluoride.plutonium_radioactive239             ([no block])                                                                     = 六氟化钚-239
depleted_fuel_nitrate_solution.plutonium_radioactive239([no block])                                                                     = 枯竭钚-239硝化燃料溶液
hexafluoride_steam_cracked.plutonium_radioactive239([no block])                                                                     = 蒸汽裂化的六氟化钚-239
hexafluoride.plutonium                            ([no block])                                                                     = 六氟化钚-244
depleted_fuel_nitrate_solution.plutonium          ([no block])                                                                     = 枯竭钚-244硝化燃料溶液
hexafluoride_steam_cracked.plutonium              ([no block])                                                                     = 蒸汽裂化的六氟化钚-244
hexafluoride.einsteinium255                       ([no block])                                                                     = 六氟化锿-255
depleted_fuel_nitrate_solution.einsteinium255     ([no block])                                                                     = 枯竭锿-255硝化燃料溶液
hexafluoride_steam_cracked.einsteinium255         ([no block])                                                                     = 蒸汽裂化的六氟化锿-255
hexafluoride.berkelium247                         ([no block])                                                                     = 六氟化锫-247
depleted_fuel_nitrate_solution.berkelium247       ([no block])                                                                     = 枯竭锫-247硝化燃料溶液
hexafluoride_steam_cracked.berkelium247           ([no block])                                                                     = 蒸汽裂化的六氟化锫-247
hexafluoride.uranium_radioactive234               ([no block])                                                                     = 六氟化铀-234
depleted_fuel_nitrate_solution.uranium_radioactive234([no block])                                                                     = 枯竭铀-234硝化燃料溶液
hexafluoride_steam_cracked.uranium_radioactive234 ([no block])                                                                     = 蒸汽裂化的六氟化铀-234
hexafluoride.californium251                       ([no block])                                                                     = 六氟化锎-251
depleted_fuel_nitrate_solution.californium251     ([no block])                                                                     = 枯竭锎-251硝化燃料溶液
hexafluoride_steam_cracked.californium251         ([no block])                                                                     = 蒸汽裂化的六氟化锎-251
hexafluoride.fermium262                           ([no block])                                                                     = 六氟化镄-262
depleted_fuel_nitrate_solution.fermium262         ([no block])                                                                     = 枯竭镄-262硝化燃料溶液
hexafluoride_steam_cracked.fermium262             ([no block])                                                                     = 蒸汽裂化的六氟化镄-262
hexafluoride.curium251                            ([no block])                                                                     = 六氟化锔-251
depleted_fuel_nitrate_solution.curium251          ([no block])                                                                     = 枯竭锔-251硝化燃料溶液
hexafluoride_steam_cracked.curium251              ([no block])                                                                     = 蒸汽裂化的六氟化锔-251
hexafluoride.plutonium_radioactive240             ([no block])                                                                     = 六氟化钚-240
depleted_fuel_nitrate_solution.plutonium_radioactive240([no block])                                                                     = 枯竭钚-240硝化燃料溶液
hexafluoride_steam_cracked.plutonium_radioactive240([no block])                                                                     = 蒸汽裂化的六氟化钚-240
hexafluoride.plutonium241                         ([no block])                                                                     = 六氟化钚-241
depleted_fuel_nitrate_solution.plutonium241       ([no block])                                                                     = 枯竭钚-241硝化燃料溶液
hexafluoride_steam_cracked.plutonium241           ([no block])                                                                     = 蒸汽裂化的六氟化钚-241
hexafluoride.berkelium251                         ([no block])                                                                     = 六氟化锫-251
depleted_fuel_nitrate_solution.berkelium251       ([no block])                                                                     = 枯竭锫-251硝化燃料溶液
hexafluoride_steam_cracked.berkelium251           ([no block])                                                                     = 蒸汽裂化的六氟化锫-251
hexafluoride.californium252                       ([no block])                                                                     = 六氟化锎-252
depleted_fuel_nitrate_solution.californium252     ([no block])                                                                     = 枯竭锎-252硝化燃料溶液
hexafluoride_steam_cracked.californium252         ([no block])                                                                     = 蒸汽裂化的六氟化锎-252
hexafluoride.californium257                       ([no block])                                                                     = 六氟化锎-257
depleted_fuel_nitrate_solution.californium257     ([no block])                                                                     = 枯竭锎-257硝化燃料溶液
hexafluoride_steam_cracked.californium257         ([no block])                                                                     = 蒸汽裂化的六氟化锎-257
hexafluoride.uranium_radioactive233               ([no block])                                                                     = 六氟化铀-233
depleted_fuel_nitrate_solution.uranium_radioactive233([no block])                                                                     = 枯竭铀-233硝化燃料溶液
hexafluoride_steam_cracked.uranium_radioactive233 ([no block])                                                                     = 蒸汽裂化的六氟化铀-233
hexafluoride.fermium259                           ([no block])                                                                     = 六氟化镄-259
depleted_fuel_nitrate_solution.fermium259         ([no block])                                                                     = 枯竭镄-259硝化燃料溶液
hexafluoride_steam_cracked.fermium259             ([no block])                                                                     = 蒸汽裂化的六氟化镄-259
hexafluoride.thorium233                           ([no block])                                                                     = 六氟化钍-233
depleted_fuel_nitrate_solution.thorium233         ([no block])                                                                     = 枯竭钍-233硝化燃料溶液
hexafluoride_steam_cracked.thorium233             ([no block])                                                                     = 蒸汽裂化的六氟化钍-233
hexafluoride.neptunium235                         ([no block])                                                                     = 六氟化镎-235
depleted_fuel_nitrate_solution.neptunium235       ([no block])                                                                     = 枯竭镎-235硝化燃料溶液
hexafluoride_steam_cracked.neptunium235           ([no block])                                                                     = 蒸汽裂化的六氟化镎-235
hexafluoride.curium245                            ([no block])                                                                     = 六氟化锔-245
depleted_fuel_nitrate_solution.curium245          ([no block])                                                                     = 枯竭锔-245硝化燃料溶液
hexafluoride_steam_cracked.curium245              ([no block])                                                                     = 蒸汽裂化的六氟化锔-245
hexafluoride.californium253                       ([no block])                                                                     = 六氟化锎-253
depleted_fuel_nitrate_solution.californium253     ([no block])                                                                     = 枯竭锎-253硝化燃料溶液
hexafluoride_steam_cracked.californium253         ([no block])                                                                     = 蒸汽裂化的六氟化锎-253
hexafluoride.neptunium237                         ([no block])                                                                     = 六氟化镎-237
depleted_fuel_nitrate_solution.neptunium237       ([no block])                                                                     = 枯竭镎-237硝化燃料溶液
hexafluoride_steam_cracked.neptunium237           ([no block])                                                                     = 蒸汽裂化的六氟化镎-237
hexafluoride.americium245                         ([no block])                                                                     = 六氟化镅-245
depleted_fuel_nitrate_solution.americium245       ([no block])                                                                     = 枯竭镅-245硝化燃料溶液
hexafluoride_steam_cracked.americium245           ([no block])                                                                     = 蒸汽裂化的六氟化镅-245
depleted_fuel_nitrate_solution.thorium            ([no block])                                                                     = 枯竭钍硝化燃料溶液
hexafluoride_steam_cracked.thorium                ([no block])                                                                     = 蒸汽裂化的六氟化钍
hexafluoride.plutonium_radioactive245             ([no block])                                                                     = 六氟化钚-245
depleted_fuel_nitrate_solution.plutonium_radioactive245([no block])                                                                     = 枯竭钚-245硝化燃料溶液
hexafluoride_steam_cracked.plutonium_radioactive245([no block])                                                                     = 蒸汽裂化的六氟化钚-245
hexafluoride.americium241                         ([no block])                                                                     = 六氟化镅-241
depleted_fuel_nitrate_solution.americium241       ([no block])                                                                     = 枯竭镅-241硝化燃料溶液
hexafluoride_steam_cracked.americium241           ([no block])                                                                     = 蒸汽裂化的六氟化镅-241
hexafluoride.fermium263                           ([no block])                                                                     = 六氟化镄-263
depleted_fuel_nitrate_solution.fermium263         ([no block])                                                                     = 枯竭镄-263硝化燃料溶液
hexafluoride_steam_cracked.fermium263             ([no block])                                                                     = 蒸汽裂化的六氟化镄-263
hexafluoride.fermium258                           ([no block])                                                                     = 六氟化镄-258
depleted_fuel_nitrate_solution.fermium258         ([no block])                                                                     = 枯竭镄-258硝化燃料溶液
hexafluoride_steam_cracked.fermium258             ([no block])                                                                     = 蒸汽裂化的六氟化镄-258
hexafluoride.einsteinium253                       ([no block])                                                                     = 六氟化锿-253
depleted_fuel_nitrate_solution.einsteinium253     ([no block])                                                                     = 枯竭锿-253硝化燃料溶液
hexafluoride_steam_cracked.einsteinium253         ([no block])                                                                     = 蒸汽裂化的六氟化锿-253
hexafluoride.curium246                            ([no block])                                                                     = 六氟化锔-246
depleted_fuel_nitrate_solution.curium246          ([no block])                                                                     = 枯竭锔-246硝化燃料溶液
hexafluoride_steam_cracked.curium246              ([no block])                                                                     = 蒸汽裂化的六氟化锔-246
hexafluoride.mendelevium263                       ([no block])                                                                     = 六氟化钔-263
depleted_fuel_nitrate_solution.mendelevium263     ([no block])                                                                     = 枯竭钔-263硝化燃料溶液
hexafluoride_steam_cracked.mendelevium263         ([no block])                                                                     = 蒸汽裂化的六氟化钔-263
hexafluoride.uranium_radioactive239               ([no block])                                                                     = 六氟化铀-239
depleted_fuel_nitrate_solution.uranium_radioactive239([no block])                                                                     = 枯竭铀-239硝化燃料溶液
hexafluoride_steam_cracked.uranium_radioactive239 ([no block])                                                                     = 蒸汽裂化的六氟化铀-239
hexafluoride.neptunium239                         ([no block])                                                                     = 六氟化镎-239
depleted_fuel_nitrate_solution.neptunium239       ([no block])                                                                     = 枯竭镎-239硝化燃料溶液
hexafluoride_steam_cracked.neptunium239           ([no block])                                                                     = 蒸汽裂化的六氟化镎-239
hexafluoride.mendelevium259                       ([no block])                                                                     = 六氟化钔-259
depleted_fuel_nitrate_solution.mendelevium259     ([no block])                                                                     = 枯竭钔-259硝化燃料溶液
hexafluoride_steam_cracked.mendelevium259         ([no block])                                                                     = 蒸汽裂化的六氟化钔-259
hexafluoride.uranium                              ([no block])                                                                     = 六氟化铀-238
depleted_fuel_nitrate_solution.uranium            ([no block])                                                                     = 枯竭铀-238硝化燃料溶液
hexafluoride_steam_cracked.uranium                ([no block])                                                                     = 蒸汽裂化的六氟化铀-238
hexafluoride.curium247                            ([no block])                                                                     = 六氟化锔-247
depleted_fuel_nitrate_solution.curium247          ([no block])                                                                     = 枯竭锔-247硝化燃料溶液
hexafluoride_steam_cracked.curium247              ([no block])                                                                     = 蒸汽裂化的六氟化锔-247
hexafluoride.curium250                            ([no block])                                                                     = 六氟化锔-250
depleted_fuel_nitrate_solution.curium250          ([no block])                                                                     = 枯竭锔-250硝化燃料溶液
hexafluoride_steam_cracked.curium250              ([no block])                                                                     = 蒸汽裂化的六氟化锔-250
hexafluoride.uranium235                           ([no block])                                                                     = 六氟化铀-235
depleted_fuel_nitrate_solution.uranium235         ([no block])                                                                     = 枯竭铀-235硝化燃料溶液
hexafluoride_steam_cracked.uranium235             ([no block])                                                                     = 蒸汽裂化的六氟化铀-235
hexafluoride.fermium257                           ([no block])                                                                     = 六氟化镄-257
depleted_fuel_nitrate_solution.fermium257         ([no block])                                                                     = 枯竭镄-257硝化燃料溶液
hexafluoride_steam_cracked.fermium257             ([no block])                                                                     = 蒸汽裂化的六氟化镄-257
hexafluoride.mendelevium261                       ([no block])                                                                     = 六氟化钔-261
depleted_fuel_nitrate_solution.mendelevium261     ([no block])                                                                     = 枯竭钔-261硝化燃料溶液
hexafluoride_steam_cracked.mendelevium261         ([no block])                                                                     = 蒸汽裂化的六氟化钔-261
egf                                               ([no block])                                                                     = 表皮生长因子
pluripotency_induction_gene_plasmids              ([no block])                                                                     = 全能性诱导基因质粒
carbon_tetrachloride                              ([no block])                                                                     = 四氯化碳
iodine_chloride                                   ([no block])                                                                     = 氯化碘
bfgf                                              ([no block])                                                                     = 碱性成纤维细胞生长因子
nitrogen_14                                       ([no block])                                                                     = 氮-14
thorium_nitrate_solution                          ([no block])                                                                     = 硝酸钍溶液
nitrogen_15                                       ([no block])                                                                     = 氮-15
myc_gene                                          ([no block])                                                                     = MYC基因
drilling_mud                                      ([no block])                                                                     = 钻井泥浆
hot_vapour_mixture                                ([no block])                                                                     = 热蒸汽混合物
acetaldehyde                                      ([no block])                                                                     = 乙醛
acidic_brominated_brine                           ([no block])                                                                     = 酸化含溴盐水
cesium_xenontrioxide_fluoride                     ([no block])                                                                     = 二氟三氧合氙酸铯
neutron_plasma                                    ([no block])                                                                     = 中子等离子体
actinium_superhydride_plasma                      ([no block])                                                                     = 超氢化锕等离子体
nitrotoluene                                      ([no block])                                                                     = 硝基甲苯
tetramethyltin_chloride                           ([no block])                                                                     = 三甲基氯化锡
superfluid_helium                                 ([no block])                                                                     = 超流体氦
naquadah_sulfate                                  ([no block])                                                                     = 硫酸硅岩
medium_naquadah                                   ([no block])                                                                     = 中硅岩
titanium50_tetrafluoride_liquid                   ([no block])                                                                     = 四氟化钛-50流体
light_e_naquadah_fuel                             ([no block])                                                                     = 轻富集硅岩燃料
pluripotency_induction_gene_therapy_fluid         ([no block])                                                                     = 全能性诱导基因治疗液
ethylenediamine                                   ([no block])                                                                     = 乙二胺
blood_cells                                       ([no block])                                                                     = 血细胞
beta_ionone                                       ([no block])                                                                     = β-香堇酮
potassium_hydroxide                               ([no block])                                                                     = 氢氧化钾
helium_rich_cno                                   ([no block])                                                                     = 富氦CNO
helium_rich_cno_plasma                            ([no block])                                                                     = 富氦CNO等离子体
chloroplatinic_acid                               ([no block])                                                                     = 氯铂酸
sodium_cyanide                                    ([no block])                                                                     = 氰化钠
linoleic_acid                                     ([no block])                                                                     = 亚油酸
acidic_salt_water                                 ([no block])                                                                     = 酸化盐水
water_agar_mix                                    ([no block])                                                                     = 琼脂水溶液
separated_metal_slurry                            ([no block])                                                                     = 已分离的金属富集炉渣浆液
fl_cracked_medium_naquadah                        ([no block])                                                                     = 加氟裂化的中硅岩
sodium_chromate_solution                          ([no block])                                                                     = 铬酸钠溶液
flyb_plasma                                       ([no block])                                                                     = ?-镱等离子体
viscoelastic_polyurethane                         ([no block])                                                                     = 粘弹性聚氨酯
heptafluorotantalate                              ([no block])                                                                     = 七氟钽酸盐
blood                                             ([no block])                                                                     = 血
hexanediol                                        ([no block])                                                                     = 己二醇
calcium_free_brine                                ([no block])                                                                     = 无钙盐水
flurotantalic_acid                                ([no block])                                                                     = 氟钽酸
bromobutane                                       ([no block])                                                                     = 溴丁烷
sodium_free_brine                                 ([no block])                                                                     = 无钠盐水
indium_hydroxide_concentrate                      ([no block])                                                                     = 浓缩氢氧化铟
phosphorous_arsenic_solution                      ([no block])                                                                     = 磷-砷溶液
mercury_nitrate                                   ([no block])                                                                     = 硝酸汞
sm_gd_oxides_solution                             ([no block])                                                                     = 钐-钆氧化物溶液
dibenzylidieneacetone                             ([no block])                                                                     = 二亚苄基二烯丙酮
cadmium_sulfate                                   ([no block])                                                                     = 硫酸镉溶液
francium_astatide_solution                        ([no block])                                                                     = 砹化钫溶液
rhenium_sulfuric_solution                         ([no block])                                                                     = 铼硫酸溶液
molten_zblan                                      ([no block])                                                                     = 熔融氟化晶体玻璃
rhenium_scrubbed_solution                         ([no block])                                                                     = Rhenium Scrubbed Solution
bromodihydrothiine                                ([no block])                                                                     = 溴二氢硫醚
molybdenum_flue_gas                               ([no block])                                                                     = 钼烟气
fluoronaquadric_acid                              ([no block])                                                                     = 氟硅岩酸
uranium_diuranate                                 ([no block])                                                                     = 重铀酸铀溶液
diisopropylcarbodiimide                           ([no block])                                                                     = 二异丙基碳二亚胺
cyclooctadiene                                    ([no block])                                                                     = 环辛二烯
nitrous_oxide                                     ([no block])                                                                     = 五氧化二氮
mbba                                              ([no block])                                                                     = 甲氧基苯亚甲基丁基苯胺
ammonium_bifluoride_solution                      ([no block])                                                                     = 氟氢化氨
caliche_nitrate_solution                          ([no block])                                                                     = 硝酸生硝溶液
wet_etylene_oxide                                 ([no block])                                                                     = 湿环氧乙烷
sulfanilamide                                     ([no block])                                                                     = 磺酰胺
quark_gluon_plasma                                ([no block])                                                                     = 夸克-胶子等离子体
neutralised_red_mud                               ([no block])                                                                     = 中和赤泥
cdtl_liquor                                       ([no block])                                                                     = 铬-铊混合液
barium_titanate_preparation                       ([no block])                                                                     = 钛酸钡制剂
phenylsodium                                      ([no block])                                                                     = 苯基钠
octanol                                           ([no block])                                                                     = Octanol
polyphenol_mix                                    ([no block])                                                                     = 多酚混合物
alumina_solution                                  ([no block])                                                                     = 氧化铝溶液
complicated_naquadah_gas                          ([no block])                                                                     = 复杂硅岩气
propargyl_alcohol                                 ([no block])                                                                     = 丙炔醇
iron52                                            ([no block])                                                                     = 铁-52
iron52_plasma                                     ([no block])                                                                     = 铁-52等离子体
poor_nitrogen_mix                                 ([no block])                                                                     = 贫氮混合物
dichlorodicyanohidroquinone                       ([no block])                                                                     = 二氯二氰氢醌
oxypentafluoroniobate                             ([no block])                                                                     = 氧五氟铌酸盐
perbromothiophene                                 ([no block])                                                                     = 二溴噻吩
xylene                                            ([no block])                                                                     = 二甲苯
e_naquadah_solution                               ([no block])                                                                     = 富集硅岩溶液
chromium48                                        ([no block])                                                                     = 铬-48
chromium48_plasma                                 ([no block])                                                                     = 铬-48等离子体
sodium_thiocyanate                                ([no block])                                                                     = 硫氰酸钠
supercritical_flibe                               ([no block])                                                                     = 超临界氟锂铍混合物
ferrocene                                         ([no block])                                                                     = 二茂铁
depleted_growth_medium                            ([no block])                                                                     = 枯竭的细菌生长培养基
barium_chloride_solution                          ([no block])                                                                     = 氯化钡溶液
fluorophosphoric_acid                             ([no block])                                                                     = Fluorophosphoric Acid
ethylenedioxythiophene                            ([no block])                                                                     = 乙撑二氧噻吩
antimony_pentafluoride                            ([no block])                                                                     = 五氟化锑
chlorosulfuric_acid                               ([no block])                                                                     = 氯磺酸
carbon_12                                         ([no block])                                                                     = 碳-12
carbon_sulfide                                    ([no block])                                                                     = 二硫化碳
bismuth_nitrate_solution                          ([no block])                                                                     = 硝酸铋溶液
carbon_13                                         ([no block])                                                                     = 碳-13
sodium_nitrate_solution                           ([no block])                                                                     = 硝酸钠溶液
chilled_brine                                     ([no block])                                                                     = 冷却盐水
potassium_free_brine                              ([no block])                                                                     = 无钾盐水
naquadria_difluoride                              ([no block])                                                                     = 二氟化超能硅岩
clear_ammonia_solution                            ([no block])                                                                     = 纯净氨水
dimethylsulfide                                   ([no block])                                                                     = 二甲硫醚
amine_mixture                                     ([no block])                                                                     = 胺混合物
supercritical_steam                               ([no block])                                                                     = 超临界水
impure_aloh3_soution                              ([no block])                                                                     = 含杂氢氧化铝溶液
tertbuthylcarbonylazide                           ([no block])                                                                     = 叔丁基羰基叠氮
methyl_isobutyl_ketone                            ([no block])                                                                     = 甲基异丁基酮
phosgene                                          ([no block])                                                                     = 碳酰氯
tributylamine                                     ([no block])                                                                     = 三丁胺
neutronium_doped_nanotubes                        ([no block])                                                                     = 中子素掺杂的纳米管
sodium_sulfate_solution                           ([no block])                                                                     = 硫酸钠溶液
potassium_etoxide                                 ([no block])                                                                     = 乙醇钾
glycine                                           ([no block])                                                                     = 甘氨酸
hexamethylenediamine                              ([no block])                                                                     = 己二胺
zircon_chlorinating_residue                       ([no block])                                                                     = 锆氯化反应残渣
1_octene                                          ([no block])                                                                     = 1-辛烯
napthaldehyde                                     ([no block])                                                                     = 萘甲醛
heavy_naquadah_fuel                               ([no block])                                                                     = 重硅岩燃料
radon_naquadriaoctafluoride                       ([no block])                                                                     = 八氟合超能硅岩酸氡
propargyl_chloride                                ([no block])                                                                     = 炔丙基氯
sodium_hydroxide_bauxite                          ([no block])                                                                     = 氢氧化钠-铝土矿粉混合物
succinaldehyde                                    ([no block])                                                                     = 琥珀醛
titanium44                                        ([no block])                                                                     = 钛-44
titanium44_plasma                                 ([no block])                                                                     = 钛-44等离子体
phenylpentanoicacid                               ([no block])                                                                     = 苯基戊酸
oxalic_acid                                       ([no block])                                                                     = 草酸
dielectric_mirror_formation_mix                   ([no block])                                                                     = 电介质反射镜形成混合物
phosphorus_chloride                               ([no block])                                                                     = 三氯化磷
pyridine                                          ([no block])                                                                     = 吡啶
tetraethylammonium_bromide                        ([no block])                                                                     = 四乙基溴化铵
viscoelastic_polyurethane_foam                    ([no block])                                                                     = 粘弹性聚氨酯泡沫
rn_cracked_light_e_naquadah                       ([no block])                                                                     = 加氡裂化的轻富集硅岩
benzonitrile                                      ([no block])                                                                     = 苯甲腈
rn_cracked_medium_e_naquadah                      ([no block])                                                                     = 加氡裂化的中富集硅岩
fluoronaquadriatic_acid                           ([no block])                                                                     = 氟超能硅岩酸
rare_earth_hydroxides_solution                    ([no block])                                                                     = 稀土氢氧化物溶液
basr_acetate_solution                             ([no block])                                                                     = 醋酸钡锶溶液
gold_cyanide                                      ([no block])                                                                     = 氰化金
kfl_4_gene                                        ([no block])                                                                     = KFL-4基因
debrominated_brine                                ([no block])                                                                     = 脱溴水
sodium_acetate                                    ([no block])                                                                     = 乙酸钠
naquadria_cesiumfluoride                          ([no block])                                                                     = 二氟合超能硅岩酸铯
pcba                                              ([no block])                                                                     = 苯基-C61-丁酸
diborane                                          ([no block])                                                                     = 乙硼烷
sodium_hydroxide_solution                         ([no block])                                                                     = 氢氧化钠溶液
complicated_light_e_naquadah                      ([no block])                                                                     = 复杂轻富集硅岩
phosphorus_trichloride                            ([no block])                                                                     = 三氯化磷
heavy_quark_enriched_mix                          ([no block])                                                                     = 富集重夸克混合物
3_aminophenol                                     ([no block])                                                                     = 间氨基苯酚
ammonium_sulfate                                  ([no block])                                                                     = 硫酸铵
dinitrodipropanyloxybenzene                       ([no block])                                                                     = 二硝基二丙氧基苯
enriched_fluoronaquadric_acid                     ([no block])                                                                     = 氟富集硅岩酸
toluene_diisocyanate                              ([no block])                                                                     = 甲苯二异氰酸脂
isoamyl_alcohol                                   ([no block])                                                                     = Isoamyl Alcohol
crude_alumina_solution                            ([no block])                                                                     = 粗制氧化铝溶液
propylene                                         ([no block])                                                                     = 丙烯
supercooled_cryotheum                             ([no block])                                                                     = 傲寒之凛冰
hydrobromic_acid                                  ([no block])                                                                     = 氢溴酸
sodium_dichromate_solution                        ([no block])                                                                     = 重铬酸钠溶液
carbone_fluoride                                  ([no block])                                                                     = 四氟化碳
isopropylsuccinate                                ([no block])                                                                     = 琥珀酸异丙酯
iodine_slurry                                     ([no block])                                                                     = 碘浆液
naquadria_solution                                ([no block])                                                                     = 超能硅岩溶液
biperfluoromethanedisulfide                       ([no block])                                                                     = 三氟甲基二硫醚
er_lu_oxides_solution                             ([no block])                                                                     = 铒-镥氧化物溶液
di_ethylhexyl_phosphoric_acid                     ([no block])                                                                     = 二-(2-乙基己基)磷酸
medium_e_naquadah                                 ([no block])                                                                     = 中富集硅岩
nitro_benzene                                     ([no block])                                                                     = 硝基苯
heavy_lepton_mix                                  ([no block])                                                                     = 重轻子混合物
iron_poor_mix                                     ([no block])                                                                     = 贫铁混合物
calcium_44                                        ([no block])                                                                     = 钙-44
basr_titanate_preparation                         ([no block])                                                                     = 醋酸钡锶制剂
enriched_naquadahhexafluoride                     ([no block])                                                                     = 六氟化富集硅岩
blood_plasma                                      ([no block])                                                                     = 血浆
ethanol_100                                       ([no block])                                                                     = 绝对乙醇
